GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010019021,110010019021,"Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia",505,56,14,12,5,8,22,17,32,29,16,18,23,27,9,14,5,7,19,17,32,26,37,29,46,30,107,62,28,20,71,31,39,26
1500000US110010019022,110010019022,"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia",314,65,12,13,11,11,5,7,0,12,8,10,23,24,30,45,10,12,0,12,20,24,17,14,43,34,27,18,43,36,29,21,36,32
1500000US110010020011,110010020011,"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia",500,59,54,40,29,26,32,24,24,27,25,26,28,26,44,31,61,43,40,29,34,28,37,30,23,18,8,12,27,33,19,16,15,14
1500000US110010020012,110010020012,"Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia",460,57,21,21,10,16,0,12,10,13,0,12,0,12,25,30,19,24,4,6,52,47,50,35,6,11,31,25,46,37,34,32,152,48
1500000US110010020021,110010020021,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",321,66,0,12,0,12,0,12,0,12,34,42,51,31,0,12,0,12,0,12,52,45,21,24,20,22,53,38,21,15,21,30,48,27
1500000US110010020022,110010020022,"Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia",627,110,114,87,13,19,85,74,71,56,9,14,24,37,10,16,0,12,11,17,58,54,38,42,56,47,17,20,94,66,17,19,10,16
1500000US110010020023,110010020023,"Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia",456,75,7,13,13,20,0,12,10,16,0,12,0,12,13,19,0,12,0,12,67,55,59,37,77,55,47,27,41,33,40,30,82,51
1500000US110010021011,110010021011,"Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia",650,140,59,71,12,19,56,71,57,45,30,37,0,12,141,112,9,14,5,11,49,46,29,36,94,65,39,41,42,56,20,27,8,14
1500000US110010021012,110010021012,"Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia",371,140,32,29,15,19,48,73,13,20,0,12,43,48,0,12,10,16,9,13,20,32,71,94,21,26,10,18,52,67,27,32,0,12
1500000US110010021013,110010021013,"Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia",507,109,88,81,25,31,11,17,0,12,0,12,12,19,0,12,55,53,11,18,52,52,60,43,41,57,42,37,93,62,17,28,0,12
